City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Isiro,82,CD,1619282703,98,2.7739,27.616,293.74,1.28
Kahului,40,US,1619281993,88,20.8947,-156.47,295.15,6.17
Porto Nacional,40,BR,1619282703,83,-10.7081,-48.4172,301.15,1.54
São João da Barra,20,BR,1619282223,54,-21.6403,-41.0511,302.15,3.04
Zherdevka,79,RU,1619282704,67,51.8486,41.4606,278.56,5.54
Kabanjahe,75,ID,1619282542,100,3.1001,98.4908,298.15,2.57
Marystown,71,CA,1619282704,75,47.1666,-55.1483,279.65,8.94
Piopio,30,NZ,1619282705,99,-38.4667,175.0167,284.26,0.85
Diapaga,65,BF,1619282706,9,12.0708,1.7889,314.07,2.44
Portree,28,GB,1619282165,55,57.4129,-6.1942,285.93,3.58
Haputale,40,LK,1619282706,94,6.7681,80.9595,300.15,2.57
Marshall,90,US,1619282707,94,34.3834,-86.3333,288.15,3.33
Flagstaff,1,US,1619282693,35,35.1981,-111.6513,288.15,6.69
Sotouboua,99,TG,1619282708,59,8.5667,0.9833,300.84,0.6
Belaya Gora,94,RU,1619282708,100,68.5333,146.4167,250.97,1.6
Khorixas,86,NA,1619282708,21,-20.3667,14.9667,300.97,1.57
Kungurtug,97,RU,1619282709,94,50.5994,97.5228,267.14,0.85
Ndioum,0,SN,1619282709,11,16.5129,-14.6471,314.15,3.09
Kibondo,86,TZ,1619282709,90,-3.5864,30.7203,290.43,0.94
Varnavino,100,RU,1619282709,77,57.4035,45.0916,281.79,5.75
Klaksvík,87,FO,1619282152,57,62.2266,-6.589,283.15,2.06
Oyama,20,JP,1619282711,93,36.3,139.8,290.37,1.54
Takoradze,92,GH,1619282646,72,4.8845,-1.7554,302.66,5.29
Itarema,65,BR,1619282163,78,-2.9248,-39.9167,301.71,6.47
Gazojak,3,TM,1619282711,24,41.1875,61.4036,294.77,8.22
Itoman,75,JP,1619282712,88,26.1247,127.6694,293.15,4.12
Severo-Yeniseyskiy,100,RU,1619282712,98,60.3725,93.0408,271.96,0.36
Labuhan,75,ID,1619282166,82,-6.8844,112.2051,299.0,2.77
Egvekinot,100,RU,1619282675,88,66.3167,-179.1667,266.69,0.78
Sosnovo-Ozerskoye,98,RU,1619282713,22,52.5249,111.5418,277.25,3.13
Peruíbe,67,BR,1619282714,74,-24.32,-46.9983,296.92,2.24
Los Llanos de Aridane,40,ES,1619282228,64,28.6585,-17.9182,295.15,4.63
Fernie,100,CA,1619282419,93,49.5,-115.0687,272.15,1.54
Ivanivka,80,UA,1619282714,59,46.7208,34.553,281.97,4.83
Moose Factory,90,CA,1619282714,74,51.2585,-80.6094,269.15,3.6
Atar,0,MR,1619282306,8,20.5169,-13.0499,310.11,7.69
Koster,5,ZA,1619282715,27,-25.863,26.8976,289.37,3.23
Sīkar,0,IN,1619282715,17,27.6167,75.15,299.12,3.12
Platón Sánchez,80,MX,1619282715,33,21.2833,-98.3667,309.46,6.94
Grindavik,90,IS,1619282305,87,63.8424,-22.4338,281.15,11.32
Iguape,34,BR,1619282716,68,-24.7081,-47.5553,297.4,2.11
Barranca,57,PE,1619282156,73,-10.75,-77.7667,294.64,4.0
Ayagoz,3,KZ,1619282476,40,47.9714,80.4392,274.93,2.33
Pisco,1,PE,1619282163,78,-13.7,-76.2167,294.26,4.12
Mount Isa,7,AU,1619282717,28,-20.7333,139.5,295.15,3.09
Staryy Nadym,100,RU,1619282717,87,65.6118,72.6842,273.67,2.45
Washougal,90,US,1619282718,81,45.5826,-122.3534,282.15,1.54
Santa Maria,90,BR,1619282316,78,-29.6842,-53.8069,294.15,1.03
Alpena,20,US,1619282718,29,45.0617,-83.4327,289.15,3.09
Reconquista,100,AR,1619282719,91,-29.15,-59.65,292.51,1.69
Voyvozh,94,RU,1619282719,68,62.892,54.9635,281.47,3.23
Porbandar,80,IN,1619282719,77,21.6422,69.6093,300.87,4.4
Dolores,56,AR,1619282719,57,-36.3132,-57.6792,294.37,6.63
Guerrero Negro,30,MX,1619282212,62,27.9769,-114.0611,291.37,6.23
Casablanca,75,MA,1619282612,73,33.5928,-7.6192,294.15,3.6
Sam Chuk,91,TH,1619282720,78,14.7576,100.0899,302.59,4.68
Evensk,100,RU,1619282149,82,61.95,159.2333,264.79,4.85
Ladário,0,BR,1619282709,48,-19.0047,-57.6017,305.15,4.63
Taihecun,1,CN,1619282720,35,45.8,130.85,276.66,2.93
Luanda,20,AO,1619282446,78,-8.8368,13.2343,300.15,3.09
Tessalit,0,ML,1619282267,4,20.1986,1.0114,311.84,4.95
Port Augusta,0,AU,1619282723,82,-32.5,137.7667,288.15,2.57
Razdol'noye,0,RU,1619282723,93,43.55,131.9167,272.15,1.0
Sheltozero,100,RU,1619282724,97,61.3667,35.3667,275.36,4.32
Margate,9,GB,1619282724,70,51.3813,1.3862,283.15,1.34
Carmo do Rio Claro,0,BR,1619282724,28,-20.9719,-46.1189,300.94,1.61
Namatanai,49,PG,1619282598,80,-3.6667,152.4333,298.9,2.42
Bayjī,33,IQ,1619282725,11,34.9311,43.487,302.58,2.61
Dwārka,3,IN,1619282137,77,22.2394,68.9678,301.01,5.19
Arrondissement de Saint-Claude,20,FR,1619282725,28,46.5,5.8333,294.15,3.6
Glinka,79,RU,1619282725,68,54.6404,32.8781,275.57,4.66
Trairi,47,BR,1619282726,75,-3.2778,-39.2689,301.95,5.27
Dolinsk,40,RU,1619282726,86,47.35,142.8,273.15,4.0
Kabompo,91,ZM,1619282726,55,-13.5927,24.2008,294.82,2.43
Aberdeen,9,GB,1619282468,46,57.1437,-2.0981,284.82,3.6
Idrinskoye,36,RU,1619282727,93,54.3708,92.1358,273.06,1.6
Terney,2,RU,1619282580,64,45.0503,136.6092,275.97,3.19
Manggar,20,ID,1619282728,75,-2.8833,108.2667,300.57,3.03
Lorengau,46,PG,1619282191,78,-2.0226,147.2712,299.87,2.25
Morristown,40,US,1619282590,100,36.214,-83.2949,283.15,4.12
Umeå,75,SE,1619282729,75,63.8284,20.2597,275.15,9.26
San Cristobal,40,VE,1619282202,58,7.7669,-72.225,303.15,5.14
Baruun-Urt,100,MN,1619282729,18,46.6806,113.2792,279.77,4.89
Havre-St-Pierre,90,CA,1619282174,75,50.2334,-63.5986,278.15,8.23
Nabire,100,ID,1619282211,96,-3.3667,135.4833,296.48,1.02
Pyn U Lwin,20,MM,1619282729,29,22.0333,96.4667,308.15,1.54
Pimentel,0,PE,1619282275,64,-6.8367,-79.9342,297.15,6.69
Fonte Boa,34,BR,1619282730,71,-2.4959,-66.2662,303.91,2.07
Flinders,31,AU,1619282730,78,-34.5833,150.8552,284.26,0.45
Nantucket,1,US,1619282195,41,41.2835,-70.0995,289.15,9.26
Kaeo,79,NZ,1619282731,96,-35.1,173.7833,284.82,1.34
Bandarbeyla,50,SO,1619282226,75,9.4942,50.8122,301.76,4.71
Whitehorse,20,CA,1619282731,64,60.7161,-135.0538,276.48,1.54
Dimāpur,32,IN,1619282731,27,25.9,93.7333,297.59,0.83
Tuatapere,88,NZ,1619282177,78,-46.1333,167.6833,282.04,3.58
Ylivieska,98,FI,1619282732,93,64.0833,24.55,274.82,0.89
Mayo,1,US,1619282317,51,38.8876,-76.5119,291.48,4.63
Isangel,83,VU,1619282160,82,-19.55,169.2667,298.34,4.67
Rafrāf,20,TN,1619282732,42,37.1904,10.1837,292.15,4.63
Martinsville,90,US,1619282576,71,36.6915,-79.8725,284.82,2.01
Lilongwe,20,MW,1619282733,73,-13.9669,33.7873,294.15,4.12
Beloslav,75,BG,1619282733,87,43.1833,27.7,283.15,3.6
Noumea,0,NC,1619282587,100,-22.2763,166.4572,299.26,2.06
Katubao,73,PH,1619282733,76,5.8892,124.8294,300.19,3.37
Kloulklubed,75,PW,1619282220,83,7.0419,134.2556,301.15,4.12
Waingapu,63,ID,1619282734,85,-9.6567,120.2641,297.94,2.96
Nhulunbuy,40,AU,1619282593,73,-12.2333,136.7667,299.15,3.09
Narrabri,5,AU,1619282734,81,-30.3167,149.7833,279.15,2.58
Ambatofinandrahana,2,MG,1619282734,93,-20.55,46.8,287.56,2.5
Pokhara,99,NP,1619282735,28,28.2333,83.9833,295.43,3.39
Galle,72,LK,1619282735,82,6.0367,80.217,300.07,1.11
Samandağ,0,TR,1619282735,37,36.0842,35.9771,302.15,2.06
Tegul'det,100,RU,1619282736,96,57.3064,88.1667,274.19,2.08
Batagay-Alyta,100,RU,1619282736,83,67.8006,130.4114,265.02,2.6
Lake Cowichan,90,CA,1619282483,87,48.825,-124.0546,282.15,0.43
Khovu-Aksy,54,RU,1619282736,48,51.1333,93.6,271.8,1.37
Shiyan,100,CN,1619282737,94,32.6475,110.7781,284.77,0.88
Karratha,0,AU,1619282266,40,-20.7377,116.8463,299.48,2.51
San Rafael,6,AR,1619282439,45,-34.6177,-68.3301,292.49,3.3
Armidale,20,AU,1619282737,81,-30.5167,151.65,277.18,0.77
Makakilo City,1,US,1619282164,73,21.3469,-158.0858,296.15,2.06
Khovd,0,MN,1619282179,20,48.0056,91.6419,270.61,7.1
Lagan,48,RU,1619282738,69,45.3929,47.3707,287.07,5.88
Koumac,88,NC,1619282739,88,-20.5667,164.2833,297.3,5.21
Abalak,100,RU,1619282740,51,58.1286,68.5944,279.85,2.55
Balma,0,FR,1619282740,30,43.6111,1.4994,294.15,8.75
Blind River,1,CA,1619282740,43,46.1834,-82.9582,285.15,6.17
Alice Springs,1,AU,1619282202,58,-23.7,133.8833,284.15,1.54
Ayan,79,RU,1619282184,74,56.45,138.1667,268.93,4.99
Makkah al Mukarramah,22,SA,1619282674,29,21.4267,39.8261,304.93,2.43
Malbork,64,PL,1619282741,59,54.0359,19.0266,280.93,1.79
Kysyl-Syr,100,RU,1619282742,90,63.8986,122.7617,274.42,3.49
Talara,0,PE,1619282742,57,-4.5772,-81.2719,300.15,7.2
Rodrigues Alves,75,BR,1619282743,70,-7.738,-72.6509,304.15,1.54
Largo,90,US,1619282582,65,27.9095,-82.7873,302.15,5.14
Liliani,0,PK,1619282743,24,32.2065,72.9537,297.59,2.44
Vestmannaeyjar,90,IS,1619282291,93,63.4427,-20.2734,280.15,7.72
Lidzbark Warmiński,29,PL,1619282744,59,54.1259,20.5795,275.97,5.08
Kailua,75,US,1619282458,78,21.4022,-157.7394,296.15,5.66
Kaili,95,ID,1619282744,93,-3.4626,120.2147,292.02,1.55
Manyana,0,BW,1619282744,23,-23.4,21.7167,293.68,2.01
Sampit,89,ID,1619282745,86,-2.5333,112.95,297.12,0.96
Mergen,2,CN,1619282745,39,49.1833,125.2167,279.29,4.28
Sioux Lookout,40,CA,1619282557,51,50.1001,-91.917,272.15,2.57
Sur,3,OM,1619282745,39,22.5667,59.5289,304.24,4.3
Keetmanshoop,0,NA,1619282746,15,-26.5833,18.1333,299.73,3.95
Nouadhibou,0,MR,1619282251,68,20.931,-17.0347,295.15,11.32
Paris,0,FR,1619282527,34,48.8534,2.3488,293.15,5.14
Cairns,90,AU,1619282746,100,-16.9167,145.7667,296.48,6.17
Launceston,52,AU,1619282746,81,-41.45,147.1667,278.71,2.06
Presidencia Roque Sáenz Peña,100,AR,1619282747,83,-26.7852,-60.4388,295.93,1.79
Rio Grande,0,BR,1619282747,53,-32.035,-52.0986,299.26,2.57
Palmer,40,US,1619282747,22,42.1584,-72.3287,293.15,5.66
Oxelösund,40,SE,1619282748,70,58.6706,17.1015,277.15,1.54
Kununurra,10,AU,1619282580,38,-15.7667,128.7333,296.15,3.6
Shenjiamen,100,CN,1619282286,92,29.9576,122.298,289.34,2.14
Saint-Paul,75,RE,1619282748,78,-21.0096,55.2707,298.15,8.75
Gobabis,0,NA,1619282584,20,-22.45,18.9667,293.21,2.66
Rantepao,100,ID,1619282748,97,-2.9701,119.8978,292.56,0.87
Lata,100,PT,1619282250,87,40.1629,-8.3327,291.48,0.45
Kamenka,79,RU,1619282750,77,51.3223,42.7678,279.82,5.65
Taseyevo,100,RU,1619282750,99,57.2169,94.8978,273.73,0.32
Oriximiná,57,BR,1619282180,78,-1.7656,-55.8661,302.05,1.3
Seoul,0,KR,1619282514,87,37.5683,126.9778,286.15,1.03
Togur,10,RU,1619282752,92,58.3631,82.8265,270.92,1.43
Tual,99,ID,1619282242,67,-5.6667,132.75,302.5,7.6
Solano,20,US,1619282640,66,38.2333,-121.9511,286.48,5.14
Albury,32,AU,1619282753,100,-36.0833,146.9167,279.26,1.25
Nizwá,80,OM,1619282753,14,22.9333,57.5333,304.34,1.7
Visby,90,SE,1619282754,65,57.6409,18.296,278.15,2.57
Bethel,1,US,1619282754,26,41.3712,-73.414,293.15,3.6
La Providencia,3,MX,1619282754,50,28.7167,-111.5833,298.71,0.89
Chavantes,36,BR,1619282755,33,-23.0389,-49.7094,301.9,0.68
Severodvinsk,20,RU,1619282755,76,64.5635,39.8302,284.15,4.0
San Lorenzo,90,PY,1619282755,94,-25.3333,-57.5333,293.15,3.09
Bolshaya Rechka,40,RU,1619282755,75,51.9503,104.7355,274.15,1.0
Quimper,0,FR,1619282756,40,48.0,-4.1,294.15,0.51
Dale,90,US,1619282756,100,38.1689,-86.99,285.15,2.06
Constantine,40,DZ,1619282210,35,36.365,6.6147,295.15,2.06
Muros,100,ES,1619282756,72,42.7762,-9.0603,293.15,0.45
Kuytun,100,RU,1619282757,91,54.3419,101.5036,272.41,0.28
Mahon,0,ES,1619282543,59,39.8885,4.2658,291.15,4.63
Kudahuvadhoo,14,MV,1619282209,65,2.6708,72.8944,301.89,3.51
Vikhorevka,100,RU,1619282757,100,56.1201,101.1636,273.15,1.0
Ilhéus,40,BR,1619282757,74,-14.7889,-39.0494,303.15,4.63
Erice,20,IT,1619282758,68,38.037,12.5865,291.15,7.2
Nurota,47,UZ,1619282758,22,40.5614,65.6886,293.15,4.12
Bay Roberts,75,CA,1619282758,43,47.5999,-53.2648,283.15,10.29
Aitape,78,PG,1619282759,90,-3.1374,142.3475,298.21,1.19
Akdepe,0,TM,1619282759,30,42.0551,59.3788,293.15,3.09
Lompoc,11,US,1619282205,82,34.6391,-120.4579,284.15,3.6
Caravelas,34,BR,1619282176,66,-17.7125,-39.2481,300.77,2.79
Polunochnoye,100,RU,1619282760,93,60.8697,60.4153,278.46,2.93
Grand Haven,75,US,1619282761,54,43.0631,-86.2284,286.15,4.12
Naryan-Mar,96,RU,1619282761,98,67.6713,53.087,276.21,4.32
Ambilobe,38,MG,1619282762,89,-13.2,49.05,297.16,1.21
Laas,0,IT,1619282254,31,46.6166,10.7002,297.15,3.6
Verāval,100,IN,1619282763,80,20.9,70.3667,300.53,5.9
Lunenburg,5,CA,1619282763,35,44.3835,-64.3155,290.37,11.83
Grão Mogol,32,BR,1619282763,31,-16.5594,-42.8897,303.98,0.53
Yeppoon,99,AU,1619282237,77,-23.1333,150.7333,293.15,2.57
Kavaratti,11,IN,1619282227,72,10.5669,72.642,302.41,3.43
Port Hawkesbury,90,CA,1619282082,37,45.6169,-61.3485,284.26,7.2
Pyu,87,MM,1619282765,75,18.4833,96.4333,300.47,4.3
Okha,46,RU,1619282521,87,53.5739,142.9478,268.77,4.45
São Domingos,56,BR,1619282765,39,-13.3983,-46.3183,304.48,1.04
Samarai,100,PG,1619282766,80,-10.6167,150.6667,300.85,6.29
Smithers,20,CA,1619282701,39,54.7804,-127.1743,280.15,3.6
Beberibe,20,BR,1619282767,74,-4.1797,-38.1306,303.15,8.75
